agency_short,request_type,description,processing_time,cost,how_to_description,payment_form_url,estimated_monthly_volume,deadline_window,effort_hours,online_available,api_available,mcp_available,related_pages,date_extracted,source_url,agency_full,eligibility,location_applicability,document_requirements,common_mistakes,community_feedback,user_tips,faqs,agency_phone,agency_email,agency_address,agency_hours,verified_by
Aurora Business Services,Apply for a business license,"This applies to any individual or entity conducting business within Aurora city limits. It covers obtaining the required business license to legally operate in the city. Fees vary based on business type and size, starting at around 50 USD annually with additional fees for specific classifications.",Typically 5-10 business days after application submission and fee payment.,50-200,"Determine the appropriate business license type, complete the online application form, submit required documents, pay fees, and wait for approval from the Business Services Division.",https://www.auroragov.org/business_services/business_licenses/apply_for_a_business_license,,Business licenses must be obtained prior to commencing business operations and renewed annually by the expiration date.,1-3,Yes,No,No,,2025-11-18,https://www.auroragov.org/business_services/business_licenses,City of Aurora Business Services Division,Any individual or entity conducting business within Aurora city limits must obtain a business license. Certain types of businesses may require additional permits or licenses.,"This business license is required for all businesses operating within the city limits of Aurora, Colorado.","Completed business license application form, Proof of identification, Proof of business address, State sales tax license (if applicable), Additional permits or certifications depending on business type",,,,"[{""question"":""Who needs a business license in Aurora?"",""answer"":""Any individual or entity conducting business within Aurora city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $50 annually and vary based on business type and size.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",303-739-7050,businesslicenses@auroragov.org,"15151 E Alameda Pkwy, Aurora, CO 80012","Monday - Friday, 8:00 AM - 5:00 PM",
City of Colorado Springs Business Licensing,Apply for a business license,This applies to any individual or entity intending to conduct business within Colorado Springs city limits. It covers obtaining the required business license based on business type and size. Fees start at 15 and increase with gross receipts and classification.,Typically 5-10 business days after application submission and fee payment.,15-50,"Determine the appropriate business license type, complete the online application form, submit required documents and pay fees, wait for review and approval, then receive your license by mail or in person.",,,Business licenses must be obtained before commencing business operations within city limits.,1-3,Yes,No,No,,2025-11-18,https://coloradosprings.gov/business/business-licenses,City of Colorado Springs Business Licensing Division,Any individual or entity intending to conduct business within Colorado Springs city limits must obtain a business license.,"Applies to businesses operating within the city limits of Colorado Springs, Colorado.","Completed business license application form, Proof of identification, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or licenses if applicable",,,,"[{""question"":""Who needs a business license in Colorado Springs?"",""answer"":""Any individual or entity intending to conduct business within Colorado Springs city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at 15 for home-based businesses and increase based on business type and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",719-385-5900,businesslicensing@coloradosprings.gov,"30 S. Nevada Avenue, Suite 101, Colorado Springs, CO 80903","Monday - Friday, 8:00 AM - 5:00 PM",
Denver Business Licensing,Apply for a business license,"This applies to any individual or entity intending to conduct business within Denver city limits. It covers obtaining the necessary license to legally operate a business in Denver. Fees vary based on business type and size, starting at $15 with higher fees for specialized licenses.",Typically 5-10 business days after application submission and fee payment.,15-10000,"Determine the appropriate business license type, complete the online application form, submit required documents and fees, wait for review and approval, then receive your business license certificate. Renew annually before expiration.",,1000-3000,Business licenses must be obtained before commencing business operations. Annual renewals are due by the license expiration date.,1-3,Yes,No,No,,2025-11-18,https://www.denvergov.org/content/denvergov/en/business-licensing.html,City and County of Denver Business Licensing Division,Any individual or entity intending to conduct business within Denver city limits must obtain a business license. Certain business types may require additional permits or approvals.,"Applies to businesses operating within the City and County of Denver, Colorado.","Completed business license application form, Proof of identification, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or approvals if applicable (e.g., health permits, zoning approvals)",,,,"[{""question"":""Who needs a business license in Denver?"",""answer"":""Any individual or entity intending to conduct business within Denver city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $15 and vary based on business type and size, with specialized licenses costing up to $10,000.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",720-865-2730,businesslicensing@denvergov.org,"201 W Colfax Ave, Dept 206, Denver, CO 80202","Monday to Friday, 8:00 AM to 4:30 PM",
DCRA,Apply for a business license,"This applies to individuals or entities intending to operate a business within Washington, DC. It covers obtaining the required business license based on business type and size. Fees start at $75 with additional charges depending on classification and gross receipts.",Typically 5 to 10 business days after application submission and fee payment.,75-500,"Determine your business license classification, gather required documents, complete the application online or in person, submit with fees, wait for review and approval, then receive your license certificate.",,1000-3000,Business licenses must be renewed annually by the expiration date to avoid penalties.,2-4,Yes,No,No,,2025-11-18,https://dc.gov/service/get-business-license,Department of Consumer and Regulatory Affairs,Any individual or entity intending to operate a business within the District of Columbia must obtain a business license. Specific eligibility depends on the type of business and compliance with local regulations.,This business license applies to all businesses operating within the District of Columbia.,"Valid government-issued photo ID, Certificate of Incorporation or business registration documents, Federal Employer Identification Number (EIN) or Social Security Number, Professional licenses or permits if applicable, Proof of DC business address",,,,"[{""question"":""Who needs a business license in Washington, DC?"",""answer"":""Any individual or entity intending to operate a business within the District of Columbia must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $75 with additional fees based on business classification and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5 to 10 business days after application submission and fee payment.""}]",202-442-4400,dcra@dc.gov,"1100 4th Street SW, Washington, DC 20024","Monday to Friday, 8:15 AM to 4:45 PM",
Planning and Development Department,Apply for a business license,"This applies to any individual or entity conducting business within Jacksonville city limits. It covers obtaining a Business Tax Receipt, which is mandatory for all businesses operating in the city. Fees start at $30 and vary based on business type, location, and number of employees.",Typically processed within 5-7 business days after application and payment are received.,30-1000,Determine your business classification and applicable fees. Complete the Business Tax Receipt application online or in person. Submit required documents including ID and proof of business location. Pay the fees and receive your Business Tax Receipt to display at your business.,https://www.coj.net/departments/planning-and-development/business-tax-receipts/apply-for-a-business-tax-receipt,,Business Tax Receipts must be renewed annually by March 31st. New businesses must apply before commencing operations.,1-3,Yes,No,No,,2025-11-18,https://www.coj.net/departments/planning-and-development/business-tax-receipts,City of Jacksonville Planning and Development Department,Any individual or entity conducting business within Jacksonville city limits must obtain a Business Tax Receipt (business license).,"Applies to businesses operating within the city limits of Jacksonville, Florida.","Valid government-issued photo ID, Proof of business location (lease agreement or property deed), Professional licenses or permits if applicable, Completed application form",,,,"[{""question"":""Who needs a Business Tax Receipt?"",""answer"":""Any individual or entity conducting business within Jacksonville city limits must obtain one.""},{""question"":""How much does the business license cost?"",""answer"":""Fees start at $30 and vary based on business type, location, and number of employees.""},{""question"":""How long does it take to process the application?"",""answer"":""Typically 5-7 business days after application and payment are received.""}]",904-255-7000,,"214 N. Hogan St., Jacksonville, FL 32202","Monday - Friday, 8:00 AM - 5:00 PM",
Business Services,Apply for a business license,"This applies to any individual or entity intending to conduct business within Miami city limits. It covers new businesses, ownership or location changes, and home-based businesses. Fees vary by business type and gross receipts, with a minimum fee and additional charges for certain classifications.",Typically processed within 5-7 business days after application submission and fee payment.,50-1000,"Determine your business license classification, complete the online application form, submit required documents, pay fees online or in person, and receive your business license certificate.",https://www.miamigov.com/Government/Departments-Organizations/Business-Services/Business-Licenses/Apply-for-a-Business-License,100-300,Business licenses must be obtained prior to commencing business operations. Renewals are due annually by December 31st.,2-4,Yes,No,No,,2025-11-18,https://www.miamigov.com/Government/Departments-Organizations/Business-Services/Business-Licenses,City of Miami Business Services Department,"Any individual or entity intending to conduct business within the City of Miami must obtain a business license. Eligibility includes new businesses, existing businesses changing ownership or location, and home-based businesses.","This business license applies to all businesses operating within the city limits of Miami, Florida.","Valid government-issued photo ID, Proof of business registration (e.g., Articles of Incorporation or Fictitious Name Registration), Federal Employer Identification Number (EIN) or Social Security Number, Certificate of Occupancy (if applicable), Special permits or licenses (if applicable)","Failing to obtain the license before starting business operations, incomplete or incorrect application forms, missing required documents, and late renewals incurring penalties.",,"[""Check the city website for detailed fee schedules and FAQs."", ""Ensure all special permits and inspections are completed if required."", ""Renew licenses annually by December 31st to avoid penalties.""]","[{""question"":""Who needs a business license in Miami?"",""answer"":""Any individual or entity conducting business within Miami city limits must obtain a business license.""},{""question"":""What documents are required to apply?"",""answer"":""Valid photo ID, proof of business registration, EIN or SSN, Certificate of Occupancy if applicable, and any special permits.""},{""question"":""How long does the application process take?"",""answer"":""Typically 5-7 business days after submission and payment.""}]",(305) 416-1900,businesslicenses@miamigov.com,"444 SW 2nd Ave, Miami, FL 33130","Monday - Friday, 8:00 AM - 5:00 PM",
City of Orlando Business Licensing,Apply for a business license,"This applies to any individual or entity conducting business within Orlando city limits, including home-based, commercial, and non-profit organizations. It covers obtaining the required license to legally operate within the city. Fees start at 30 and increase based on business type and size.",Typically processed within 5-7 business days after application submission and payment.,30-100,"Determine your business license classification, complete the online application form, submit required documents, pay the fee online or in person, and receive your license confirmation via email or mail.",https://www.orlando.gov/Business/Business-Licenses/Apply-for-a-Business-License,,Business licenses must be obtained before commencing business operations. Annual renewals are due by December 31 each year.,1-3,Yes,No,No,,2025-11-18,https://www.orlando.gov/Business/Business-Licenses,City of Orlando Business Licensing Division,"Any individual or entity conducting business within Orlando city limits must obtain a business license. This includes home-based businesses, commercial businesses, and non-profit organizations.","This business license is required for all businesses operating within the city limits of Orlando, Florida.","Valid government-issued photo ID, Proof of business registration (e.g., Articles of Incorporation or Fictitious Name Registration), Federal Employer Identification Number (EIN) or Social Security Number, Zoning approval or certificate of occupancy if applicable, Additional permits or certifications depending on business type","Failing to obtain the license before starting business operations, missing required documents, not renewing the license by December 31, and not paying additional fees for special permits or inspections.",,,"[{""question"":""Who needs a business license in Orlando?"",""answer"":""Any individual or entity conducting business within Orlando city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at 30 and vary based on business type and number of employees.""},{""question"":""When must I renew my business license?"",""answer"":""Annual renewals are due by December 31 each year.""}]",(407) 246-2300,businesslicense@orlando.gov,"400 S. Orange Avenue, Orlando, FL 32801","Monday - Friday, 8:00 AM - 5:00 PM",
City of St. Petersburg Business Tax Division,Apply for a business license,"This applies to any individual or entity conducting business within the city limits of St. Petersburg, Florida. It covers obtaining a business license, also known as a Business Tax Receipt or Occupational License. Fees vary based on business type and size, with a minimum fee of 25 USD.",Typically processed within 5-7 business days after application submission and fee payment.,25-1000,"Determine the appropriate business license type, complete the application online or in person, submit required documents, pay applicable fees, and receive your license once approved.",,,Business licenses must be obtained prior to commencing business operations and renewed annually by March 31.,1-3,Yes,No,No,"[""https://www.stpete.org/business/business_license_application.php"", ""https://www.stpete.org/business/business_license_fees.php"", ""https://www.stpete.org/business/business_license_faq.php""]",2025-11-18,https://www.stpete.org/business/business_licenses.php,City of St. Petersburg Business Tax Division,Any individual or entity conducting business within the city limits of St. Petersburg must obtain a business license.,"Applies to all businesses operating within the city limits of St. Petersburg, Florida.","Completed Business License Application form, Valid government-issued photo ID, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Any required permits or certifications specific to the business type",,,,"[{""question"":""Who needs a business license in St. Petersburg?"",""answer"":""Any individual or entity conducting business within the city limits must obtain a business license.""},{""question"":""How much does the business license cost?"",""answer"":""Fees vary based on business type and size, with a minimum fee of 25 USD.""},{""question"":""How long does it take to process the business license?"",""answer"":""Typically 5-7 business days after application submission and fee payment.""}]",(727) 893-7373,businesstax@stpete.org,"City Hall, 175 5th Street North, St. Petersburg, FL 33701","Monday - Friday, 8:00 AM - 5:00 PM",
City of Tampa,Apply for a business license,"This applies to any individual or entity conducting business within Tampa city limits. It covers obtaining a business tax receipt required to legally operate. Fees vary based on business type, size, and location according to the City of Tampa fee schedule.",Typically processed within 5-7 business days after submission and payment.,50-1000,"Determine the appropriate business license type, complete the online or paper application, provide required documents, pay fees, and receive your business tax receipt upon approval.",https://www.tampa.gov/business/business-licenses/apply,100-300,Business licenses must be renewed annually by March 1st. New businesses should apply before commencing operations.,1-3,Yes,No,No,,2025-11-18,https://www.tampa.gov/business/business-licenses,City of Tampa Business Tax Receipt Division,Any individual or entity conducting business within Tampa city limits must obtain a business tax receipt (business license).,"This business license is required for all businesses operating within the city limits of Tampa, Florida.","Valid government-issued photo ID, Proof of business location (lease agreement or property deed), Federal Employer Identification Number (EIN) or Social Security Number, State registration documents if applicable, Any required permits or certifications related to the business activity",,,,"[{""question"":""Who needs a business license in Tampa?"",""answer"":""Any individual or entity conducting business within Tampa city limits must obtain a business tax receipt.""},{""question"":""How much does the business license cost?"",""answer"":""Costs vary based on business type, size, and location, starting at a $50 base fee plus additional fees based on gross receipts.""},{""question"":""How long does it take to process the application?"",""answer"":""Applications are typically processed within 5-7 business days after submission and payment.""}]",(813) 274-8200,businesstax@tampagov.net,"City of Tampa, Business Tax Receipt Division, 306 E. Jackson Street, 3rd Floor, Tampa, FL 33602","Monday - Friday, 8:00 AM - 5:00 PM",
Business Tax Division,Apply for a business license,"This applies to any individual or entity conducting business within the city limits of Atlanta, Georgia. It covers obtaining a business license, also known as an occupational tax certificate, required for legal operation. Fees vary based on business type and gross receipts, with a minimum fee starting at 50 USD.",Typically processed within 5-7 business days after application submission and payment.,50-100,"Determine your business type and license category, complete the application form online or in person, submit required documents, pay the applicable fee based on gross receipts, and receive your business license upon approval.",https://www.atlantaga.gov/government/departments/finance/business-tax-division/business-license/apply-for-a-business-license,,Business licenses must be renewed annually by March 31st. New businesses must apply before commencing operations.,1-2,Yes,No,No,,2025-11-18,https://www.atlantaga.gov/government/departments/finance/business-tax-division/business-license,City of Atlanta Business Tax Division,"Any individual or entity conducting business within the city of Atlanta must obtain a business license. This includes corporations, partnerships, sole proprietors, and other business entities.","Applies to businesses operating within the city limits of Atlanta, Georgia.","Valid government-issued photo ID, Proof of business registration (e.g., Articles of Incorporation, DBA certificate), Federal Employer Identification Number (EIN) or Social Security Number, Completed business license application form","Failing to apply before starting business operations, missing required documents, underreporting gross receipts, and late renewal causing penalties.",,,"[{""question"":""Who needs a business license in Atlanta?"",""answer"":""Any individual or entity conducting business within the city limits must obtain a business license.""},{""question"":""How much does the business license cost?"",""answer"":""Fees start at a minimum of 50 USD and increase based on gross receipts tiers.""},{""question"":""What is the processing time for the business license?"",""answer"":""Applications are typically processed within 5-7 business days after submission and payment.""}]",404-330-6150,businesstax@atlantaga.gov,"55 Trinity Avenue SW, Suite 1350, Atlanta, GA 30303","Monday - Friday, 8:00 AM - 5:00 PM",
BFS,Apply for a business license,"This applies to any individual or entity intending to conduct business within the City and County of Honolulu. It covers obtaining a license required for all business types, with fees based on business classification and gross income. Licenses must be renewed annually.",Typically 5 to 10 business days after submission of a complete application.,20-1000,Determine your business license classification. Complete the Business License Application form online or in person. Submit the application with required documents and fees. Wait for processing and approval. Receive your business license certificate.,,,Business licenses must be renewed annually by December 31. New businesses must apply before commencing operations.,1-3,Yes,No,No,,2025-11-18,https://www.honolulu.gov/cms-bfs-menu/site-bfs-sitearticles/121-business-licenses.html,"City and County of Honolulu, Department of Budget and Fiscal Services, Business Licensing Division","Any individual or entity intending to conduct business within the City and County of Honolulu must obtain a business license. This includes sole proprietors, partnerships, corporations, and other business entities.","Applies to businesses operating within the City and County of Honolulu, Hawaii.","Completed Business License Application form, Valid government-issued photo ID, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or approvals if applicable (e.g., health permits)",,,,"[{""question"":""Who needs a business license in Honolulu?"",""answer"":""Any individual or entity conducting business within the City and County of Honolulu must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $20 and increase based on gross income and business classification.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5 to 10 business days after submitting a complete application.""}]",(808) 768-3800,bfslic@honolulu.gov,"530 S King St, Room 115, Honolulu, HI 96813","Monday to Friday, 7:45 AM to 4:30 PM",
City of Boise Finance Department,Apply for a business license,"This applies to any individual or entity conducting business within Boise city limits, including new, home-based, and out-of-city businesses operating in Boise. It covers obtaining the required business license with fees based on business type and size. Additional permits or inspections may be required for certain business types.",Typically processed within 5-7 business days after application submission and payment.,25-1000,"Determine the appropriate business license type, complete the online application form, submit required documents and pay fees online or in person, wait for approval and issuance, and renew annually before expiration.",https://www.cityofboise.org/departments/finance/business-licenses/apply-for-a-business-license/,,Business licenses must be renewed annually by December 31st. New businesses must apply before commencing operations.,1-2,Yes,No,No,,2025-11-18,https://www.cityofboise.org/departments/finance/business-licenses/,City of Boise Finance Department - Business Licenses Division,"Any individual or entity conducting business within Boise city limits must obtain a business license. This includes new businesses, home-based businesses, and out-of-city businesses operating in Boise.","This business license is required for all businesses operating within the city limits of Boise, Idaho.","Completed business license application form, Proof of identification, Federal Employer Identification Number (EIN) or Social Security Number, Zoning approval if applicable, State contractor license if applicable, Other permits or certifications depending on business type","Failing to renew by the deadline, incomplete application forms, missing required documents, not obtaining additional permits for regulated business types.",,,"[{""question"":""Who needs a business license in Boise?"",""answer"":""Any individual or entity conducting business within Boise city limits must obtain a business license.""},{""question"":""What is the cost of a business license?"",""answer"":""Fees vary based on business type and size, starting with a base fee of $25 plus additional fees depending on classification and employees.""},{""question"":""How long does it take to process the application?"",""answer"":""Typically 5-7 business days after submission and payment.""}]",208-608-7100,businesslicenses@cityofboise.org,"150 N Capitol Blvd, Boise, ID 83702","Monday - Friday, 8:00 AM - 5:00 PM",
BACP,Apply for a business license,"This applies to individuals or entities intending to operate a business within Chicago. It covers obtaining the required license based on business type and compliance with city regulations. Fees vary widely, typically ranging from 50 to several thousand dollars annually.","Typically 7 to 14 business days, depending on the license type and completeness of application.",50-3000,"Determine the appropriate license type, complete the application online or in person, submit required documents, pay the fee, undergo inspections or background checks if required, and receive your license upon approval.",,1000-3000,Applications should be submitted before starting business operations; renewals are due annually by the license expiration date.,3-5,Yes,No,No,,2025-11-18,https://www.chicago.gov/city/en/depts/bacp/provdrs/bus/svcs/get_a_business_license.html,Chicago Department of Business Affairs and Consumer Protection,Any individual or entity intending to operate a business within Chicago must obtain a business license. Specific eligibility may depend on the type of business and compliance with city regulations.,"This business license applies to all businesses operating within the city limits of Chicago, Illinois.","Valid government-issued photo ID, Proof of business address, Completed application form, Zoning approval if applicable, Health department permits for food-related businesses, Certificate of Occupancy if required",,,,"[{""question"":""Who needs a business license in Chicago?"",""answer"":""Any individual or entity intending to operate a business within Chicago must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees vary by business type, ranging from $50 to several thousand dollars annually.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 7 to 14 business days depending on license type and application completeness.""}]",312-74-GOBIZ (312-744-6249),bacp@cityofchicago.org,"121 N LaSalle St, Room 805, Chicago, IL 60602","Monday to Friday, 8:30 AM to 5:00 PM",
City of Fort Wayne Business Licenses,Apply for a business license,This applies to any individual or entity intending to conduct business within Fort Wayne city limits. It covers obtaining the necessary license to legally operate a business in the city. Fees start at 25 and vary based on business type and size.,Typically 5-10 business days after application submission.,25-1000,"Determine the appropriate business license type, complete the application form online or in person, submit required documents and fees, wait for review and approval, then receive your business license certificate.",,200-500,Business licenses must be obtained before commencing business operations.,1-3,Yes,No,No,,2025-11-18,https://www.cityoffortwayne.org/department/business-licenses.html,City of Fort Wayne Department of Business Licenses,Any individual or entity intending to conduct business within Fort Wayne city limits must obtain a business license.,"Applies to all businesses operating within the city limits of Fort Wayne, Indiana.","Completed business license application form, Proof of business address, Identification of business owner(s), Any required permits or certifications specific to the business type","Failing to obtain the license before starting business operations, incomplete application forms, missing required documents, not paying additional fees for specific business types.",,,"[{""question"":""Who needs a business license in Fort Wayne?"",""answer"":""Any individual or entity intending to conduct business within Fort Wayne city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at 25 and increase depending on business classification and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission.""}]",(260) 427-1234,businesslicenses@cityoffortwayne.org,"200 E Berry St, Fort Wayne, IN 46802","Monday - Friday, 8:00 AM - 4:30 PM",
Office of Finance and Management,Apply for a business license,This applies to individuals or entities intending to conduct business within Indianapolis city limits. It covers obtaining the required business license based on business type and size. Fees start at 25 USD and vary depending on classification and gross receipts.,Typically 5-10 business days after application submission and fee payment.,25-1000,"Determine the appropriate business license type, complete the application online or in person, submit required documents and fees, wait for review and approval, then receive your business license certificate.",,,"Business licenses must be obtained before commencing business operations. Renewal deadlines vary by license type, typically annually.",1-3,Yes,No,No,"[""https://www.indy.gov/activity/apply-for-a-business-license"", ""https://www.indy.gov/activity/business-license-fees"", ""https://www.indy.gov/agency/office-of-finance-and-management/business-licenses""]",2025-11-18,https://www.indy.gov/activity/get-a-business-license,City of Indianapolis Office of Finance and Management - Business Licenses,Any individual or entity intending to conduct business within Indianapolis city limits must obtain a business license. Certain business types may require additional permits or approvals.,"Applies to businesses operating within the city limits of Indianapolis, Indiana.","Completed business license application form, Proof of business address, Identification of business owner(s), Federal Employer Identification Number (EIN) or Social Security Number, Additional permits or approvals if applicable (e.g., health permits, zoning approvals)",,,,"[{""question"":""Who needs a business license in Indianapolis?"",""answer"":""Any individual or entity intending to conduct business within Indianapolis city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at 25 USD and vary depending on business classification and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically 5-10 business days after application submission and fee payment.""}]",(317) 327-4622,businesslicenses@indy.gov,"200 E Washington St, Suite 2401, Indianapolis, IN 46204","Monday - Friday, 8:00 AM - 4:30 PM",
City of Wichita Finance Department,Apply for a business license,"This applies to any individual or entity conducting business within Wichita city limits. It covers obtaining the required business license to legally operate, with fees varying based on business type and size. Additional permits or inspections may be required for certain business categories.",Typically processed within 5-7 business days after application and payment are received.,50-500,"Determine the appropriate business license type, complete the online or paper application, submit required documents, pay applicable fees, and receive confirmation of license issuance. Renew annually before expiration.",https://www.wichita.gov/Finance/BusinessLicenses/Pages/ApplyforBusinessLicense.aspx,,Business licenses must be renewed annually by December 31st; new businesses must apply before commencing operations.,1-2,Yes,No,No,,2025-11-18,https://www.wichita.gov/Finance/BusinessLicenses/Pages/default.aspx,City of Wichita Finance Department - Business Licenses Division,Any individual or entity conducting business within Wichita city limits must obtain a business license. Certain business types may require additional permits or approvals.,"Applies to businesses operating within the city limits of Wichita, Kansas.","Valid government-issued photo ID, Completed business license application form, Proof of business address, Special permits or certifications if applicable (e.g., health permits for food businesses), Federal Employer Identification Number (EIN) or Social Security Number","Failing to submit all required documents, missing application deadlines, not renewing the license annually, and not obtaining additional permits when required.",,,"[{""question"":""Who needs a business license in Wichita?"",""answer"":""Any individual or entity conducting business within Wichita city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $50 annually and vary based on business type and size.""},{""question"":""How long does it take to process the application?"",""answer"":""Typically 5-7 business days after application and payment are received.""}]",316-268-4550,businesslicenses@wichita.gov,"455 N Main St, Wichita, KS 67202","Monday - Friday, 8:00 AM - 5:00 PM",
Lexington-Fayette Urban County Government,Apply for a business license,"This applies to any individual or entity conducting business within Lexington city limits. It covers obtaining a business license required to legally operate, with fees starting at 15 and increasing based on gross receipts. Additional permits or inspections may be required for certain business types.",Typically processed within 5-7 business days after application submission.,15-1000,Complete the Business License Application form online or download the PDF. Submit the application with required documents to the Business License Division. Pay the applicable fee based on business type and gross receipts. Receive your business license certificate upon approval.,https://www.lexingtonky.gov/sites/default/files/Business%20License%20Application.pdf,,Business licenses must be obtained before commencing business operations and renewed annually.,1-2,Yes,No,No,,2025-11-18,https://www.lexingtonky.gov/business-licenses,Lexington-Fayette Urban County Government Business License Division,Any individual or entity conducting business within Lexington city limits must obtain a business license.,"Applies to businesses operating within the city limits of Lexington, Kentucky.","Completed Business License Application form, Proof of identification, Federal Employer Identification Number (EIN) or Social Security Number, Proof of address, Any applicable permits or certifications related to the business",,,,"[{""question"":""Who needs a business license in Lexington?"",""answer"":""Any individual or entity conducting business within Lexington city limits must obtain a business license.""},{""question"":""How much does the business license cost?"",""answer"":""Fees start at 15 and increase based on business type and gross receipts.""},{""question"":""How long does it take to process the business license?"",""answer"":""Typically processed within 5-7 business days after application submission.""}]",859-258-3100,businesslicense@lexingtonky.gov,"200 East Main Street, Lexington, KY 40507","Monday-Friday, 8:00 AM - 5:00 PM",
Louisville Business License Division,Apply for a business license,"This applies to any individual or entity conducting business within Louisville city limits. It covers obtaining the required business license to legally operate, with fees starting at $15 and varying based on business type and gross receipts. Additional permits or inspections may be required for certain business types.",Typically processed within 5-7 business days after application submission and fee payment.,15-1000,"Determine the appropriate business license type, complete the application online or in person, submit required documents, pay fees, and receive your license upon approval.",,,Business licenses must be obtained before commencing business operations; renewals are annual.,1-3,Yes,No,No,,2025-11-18,https://louisvilleky.gov/government/business-licenses,Louisville Metro Government Business License Division,Any individual or entity conducting business within Louisville city limits must obtain a business license.,"Applies to businesses operating within the city limits of Louisville, Kentucky.","Completed business license application form, Proof of business address, Federal Employer Identification Number (EIN) or Social Security Number, State tax registration documents if applicable, Additional permits or certifications depending on business type",,,,"[{""question"":""Who needs a business license in Louisville?"",""answer"":""Any individual or entity conducting business within Louisville city limits must obtain a business license.""},{""question"":""How much does a business license cost?"",""answer"":""Fees start at $15 and vary based on business type, size, and gross receipts.""},{""question"":""How long does it take to get a business license?"",""answer"":""Typically processed within 5-7 business days after application submission and fee payment.""}]",502-574-4771,businesslicense@louisvilleky.gov,"444 S. 5th Street, Louisville, KY 40202","Monday - Friday, 8:00 AM - 4:30 PM",
City of New Orleans Finance Department,Apply for a business license,"This applies to any individual or entity conducting business within New Orleans city limits. It covers obtaining a license to legally operate a business, including new businesses, changes in ownership or location, and home-based businesses. Fees vary based on business type and size, starting with a base fee plus additional charges.",Processing typically takes 5-10 business days after submission of a complete application and payment.,50-5000,"Determine the appropriate business license type, gather required documents, complete the online or in-person application, submit with fees, wait for review and approval, then receive your license certificate.",https://www.nola.gov/finance/business-licenses/apply-for-a-business-license/,,Business licenses must be obtained before commencing business operations. Renewals are due annually by December 31.,2-4,Yes,No,No,,2025-11-18,https://www.nola.gov/finance/business-licenses/,City of New Orleans Finance Department - Business Licenses Division,"Any individual or entity conducting business within New Orleans city limits must obtain a business license. This includes new businesses, existing businesses changing ownership or location, and home-based businesses.","This business license is required for all businesses operating within the city limits of New Orleans, Louisiana.","Valid government-issued photo ID, Proof of business registration (e.g., DBA, LLC documents), Federal Employer Identification Number (EIN) or Social Security Number, Lease agreement or proof of business location, Any required permits or certifications specific to the business type",,,,"[{""question"":""Who needs a business license in New Orleans?"",""answer"":""Any individual or entity conducting business within New Orleans city limits must obtain a business license.""},{""question"":""How long does it take to process a business license application?"",""answer"":""Processing typically takes 5-10 business days after submission of a complete application and payment.""},{""question"":""What documents are required to apply?"",""answer"":""Valid government-issued photo ID, proof of business registration, EIN or SSN, lease agreement or proof of location, and any required permits or certifications.""}]",(504) 658-4000,businesslicenses@nola.gov,"1300 Perdido Street, Room 1W10, New Orleans, LA 70112","Monday to Friday, 8:00 AM to 4:30 PM",
